,Id,CNPJ,CPF,Nome,Ativo,Recadastrado,Município,UF,Natureza Jurídica,Porte da Empresa,Ramo do Negócio,Unidade Cadastradora,CNAE,CNAE Secundário,Habilitado a Licitar
11,35504,02.916.265/0053-90,,JBS S/A,Não,,53716: Teófilo Otoni,MG,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
12,35505,02.916.265/0058-03,,JBS S/A,Sim,,92215: Anápolis,GO,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
13,35508,02.916.265/0066-05,,JBS S/A,Sim,,90670: Cuiabá,MT,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
14,35509,02.916.265/0068-77,,JBS S/A,Sim,,98191: Juará,MT,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
15,35514,02.916.265/0141-10,,JBS S/A,Sim,,4839: Marabá,PA,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
16,36778,02.999.886/0001-54,,CALLEGARO & IRMAOS LTDA,Sim,,88536: Santo Ângelo,RS,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
17,37932,03.080.479/0001-01,,INDUSTRIA E COMERCIO DE ALIMENTOS SUPREMO LTDA,Sim,,45950: Ibirité,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
18,39110,03.162.118/0001-04,,ABATEDOURO SAO CLEMENTE LTDA,Sim,,80837: Concórdia,SC,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
19,49415,03.853.896/0003-01,,MARFRIG GLOBAL FOODS S.A.,Sim,,69337: Promissão,SP,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
20,61327,04.613.751/0004-87,,CRISTALFRIGO INDUSTRIA COMERCIO IMPORTACAO E EXPORTACAO LTDA EM RECUPERACAO JUDI,Sim,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
21,126875,09.049.992/0001-16,,GUIMARAES COSTA PRODUTO ALIMENTICIO LTDA,Sim,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
22,147186,11.165.831/0001-30,,CARNESUL COMERCIAL DE ALIMENTOS LTDA,Sim,,75353: Curitiba,PR,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
23,157630,17.077.702/0001-76,,BARBOSA & CIA LTDA,Sim,,41114: Barbacena,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
24,160692,20.730.099/0053-15,,SADIA S.A.,Não,,91677: Várzea Grande,MT,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
25,161321,21.465.927/0001-77,,REAL DISTRIBUIDORA DE CARNES LTDA EM RECUPERACAO JUDICIAL,Sim,,54038: Uberlândia,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
26,164618,24.746.687/0001-77,,AGRA AGROINDUSTRIAL DE ALIMENTOS SA,Sim,,91510: Rondonópolis,MT,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
27,167620,27.497.684/0001-35,,FRISA FRIGORIFICO RIO DOCE S A,Sim,,56294: Colatina,ES,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
28,184500,42.947.465/0004-47,,UNIFRIGO INDUSTRIA COMERCIO IMPORTACAO E EXPORTACAO LTDA,Não,,43710: Contagem,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
29,204455,70.992.359/0003-30,,FRIDEL FRIGORIFICO INDUSTRIAL DEL REY LTDA,Sim,,43710: Contagem,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
30,213441,81.128.373/0001-44,,TIROLEZA ALIMENTOS LTDA,Não,,78859: São José dos Pinhais,PR,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
31,220188,88.728.027/0001-46,,FRIGORIFICO SILVA INDUSTRIA E COMERCIO LTDA,Sim,,88412: Santa Maria,RS,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
32,220224,88.776.638/0001-60,,FRIGORIFICO SAGRILLO LTDA,Sim,,88510: Santiago,RS,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
33,221153,89.996.706/0003-20,,N & N COMERCIO E PARTICIPACOES LTDA,Sim,,88412: Santa Maria,RS,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
34,222862,91.982.496/0015-05,,COTRIPAL AGROPECUARIA COOPERATIVA,Sim,,86118: Condor,RS,4: COOPERATIVA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
35,231757,67.620.377/0013-58,,MINERVA S.A.,Não,,90395: Batayporã,MS,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
36,232114,06.128.996/0001-00,,ATIVO ALIMENTOS EXPORTADORA E IMPORTADORA LTDA,Sim,,4472: Castanhal,PA,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
37,236274,02.916.265/0117-90,,JBS S/A,Sim,,46833: Ituiutaba,MG,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
38,236841,67.620.377/0018-62,,MINERVA S.A.,Sim,,92410: Araguaína,TO,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
39,239001,67.620.377/0003-86,,MINERVA S.A.,Sim,,66150: José Bonifácio,SP,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
40,239367,67.620.377/0004-67,,MINERVA S.A.,Sim,,95117: Palmeiras de Goiás,GO,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
41,246025,02.916.265/0077-68,,JBS S/A,Sim,,90514: Campo Grande,MS,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
42,248447,12.279.217/0001-61,,H R DE A PESSOA FILHO EIRELI,Sim,,2690: Parintins,AM,25: EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA),2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
43,249246,07.955.536/0001-00,,MINERVA INDUSTRIA E COMERCIO DE ALIMENTOS S/A,Não,,299: Rolim de Moura,RO,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
44,252142,02.916.265/0082-25,,JBS S/A,Sim,,116: Pimenta Bueno,RO,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
45,268851,14.144.135/0001-35,,BOSCATTI INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,Sim,,43710: Contagem,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
46,292424,02.916.265/0104-75,,JBS S/A,Sim,,90697: Diamantino,MT,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
47,292619,02.916.265/0001-60,,JBS S/A,Sim,,71072: São Paulo,SP,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
48,300670,73.368.151/0001-70,,CENTRAL DE CARNES PARANAENSE LTDA,Sim,,75132: Colombo,PR,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
49,319423,87.214.870/0001-41,,FRIGORIFICO E SUPERMERCADO VANHOVE LTDA,Sim,,88692: São Gabriel,RS,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
50,322197,34.086.215/0001-99,,GBI FRIGORIFICO LTDA,Sim,,35335: Guanambi,BA,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
51,322890,02.916.265/0076-87,,JBS S/A,Sim,,91138: Navirai,MS,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
52,330538,04.399.992/0001-22,,FRIGOABAT - FRIGORIFICO ABATEDOURO COSTA TAVARES LTDA,Sim,,50334: Poço Fundo,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
53,335451,11.831.785/0001-60,,MERCURIO ALIMENTOS S/A,Sim,,4154: Ananindeua,PA,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
54,337799,17.748.259/0001-18,,JD FOODS LTDA,Não,,6157: Santana,AP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
55,344170,10.572.011/0001-08,,E D G TEIXEIRA,Não,,1317: Confresa,MT,1: EMPRESÁRIO (INDIVIDUAL),2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
56,347861,01.838.723/0389-57,,BRF S.A.,Sim,,91677: Várzea Grande,MT,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
57,368269,04.603.630/0003-73,,INDUSTRIA E COMERCIO DE CARNES E DERIVADOS BOI BRASIL LTDA - EM RECUPERACAO JUDI,Sim,,92134: Alvorada,TO,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
58,379155,02.916.265/0067-96,,JBS S/A,Sim,,89931: São José dos Quatro Marcos,MT,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
59,399074,87.412.706/0001-49,,FRIGORIFICO FAMILE LTDA,Sim,,87912: Pelotas,RS,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
60,408165,09.174.844/0001-23,,FRIOLI FRIGORIFICO OLIVEIRA LTDA,Sim,,50911: Ribeirão das Neves,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
61,423765,07.921.132/0001-03,,QUALIFRIG ALIMENTOS S/A - EM RECUPERACAO JUDICIAL,Sim,,25313: Recife,PE,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
62,472429,18.740.458/0002-23,,JJZ ALIMENTOS S.A.,Não,,93750: Goianira,GO,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
63,497283,11.831.785/0002-41,,MERCURIO ALIMENTOS S/A,Sim,,4472: Castanhal,PA,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
64,509956,02.165.984/0001-96,,FRIGORIFICO REDENTOR S/A EM RECUPERACAO JUDICIAL,Sim,,98876: Guarantã do Norte,MT,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
65,517805,23.851.031/0001-51,,A. LETICIA SERROU REGINATTO,Sim,,361: Rorainopolis,RR,1: EMPRESÁRIO (INDIVIDUAL),2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
66,521047,22.672.256/0001-88,,G R RIBEIRO SILVA,Não,,7978: Humberto de Campos,MA,1: EMPRESÁRIO (INDIVIDUAL),2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
67,547320,02.916.265/0047-42,,JBS S/A,Sim,,91812: Pedra Preta,MT,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
68,547322,02.916.265/0041-57,,JBS S/A,Sim,,35: Porto Velho,RO,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
69,547323,02.916.265/0180-26,,JBS S/A,Sim,,450: SAO MIGUEL DO GUAPORE,RO,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
70,547324,02.916.265/0136-52,,JBS S/A,Sim,,5339: Santana do Araguaia,PA,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
71,552342,13.808.389/0001-48,,FRIGO 10 LTDA,Sim,,3018: Boa Vista,RR,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
72,557579,02.225.085/0001-31,,FRIGORIFICO EL'GOLLI LTDA,Sim,,83518: Taió,SC,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
73,559828,31.108.529/0001-57,,FRIGOTINS INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,Sim,,94994: Novo Acordo,TO,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
74,573940,26.657.341/0001-28,,ARROBA ALIMENTOS LTDA,Sim,,51233: Rochedo de Minas,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
75,583421,33.981.438/0001-57,,FRIGORIFICO CONFIANCA LTDA,Sim,,54038: Uberlândia,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
76,606706,11.606.543/0001-73,,FORTALEZA DE SANTA TERESINHA AGRICULTURA E PECUARIA S.A.,Sim,,47112: Jequitaí,MG,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
77,607760,05.155.754/0001-34,,COMERCIO DE CARNES E DERIVADOS MACHADO EIRELI,Sim,,81450: Imbuia,SC,25: EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA),2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
78,618885,33.686.920/0001-64,,YORK FOODS INDUSTRIA E COMERCIO DE CARNES E DERIVADOS S.A.,Sim,,87912: Pelotas,RS,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
79,627069,48.357.263/0001-89,,COMERCIAL DE CARNES E ALIMENTOS SAO LUIZ MARILIA LTDA,Sim,,66818: Marilia,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
80,630811,05.826.986/0001-77,,FRIGORIFICO BETTER BEEF LTDA,Sim,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
81,631323,05.826.986/0002-58,,FRIGORIFICO BETTER BEEF LTDA,Sim,,69450: Rancharia,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
82,641800,16.995.395/0001-40,,NACIONAL DISTRIBUIDORA DE CARNES BEEF LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
83,649892,76.386.242/0001-27,,ACOUGUE E MERCEARIA KARLING LTDA,Sim,,84778: Sulina,PR,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
84,680373,37.356.854/0001-15,,BOA VISTA - ALIMENTOS LTDA,Sim,,93750: Goianira,GO,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
85,687407,28.527.435/0001-08,,J B DOS SANTOS FILHO COMERCIO,Sim,,27790: Junqueiro,AL,1: EMPRESÁRIO (INDIVIDUAL),2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
86,717164,12.940.535/0003-93,,NUTRIACRE IMPORT & EXPORTACAO LTDA,Sim,,1457: Sena Madureira,AC,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
87,717447,02.916.265/0137-33,,JBS S/A,Sim,,5673: Redenção,PA,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
88,718994,12.940.535/0001-21,,NUTRIACRE IMPORT & EXPORTACAO LTDA,Sim,,1511: Plácido de Castro,AC,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
89,720724,02.492.119/0001-54,,RPD CARNES LTDA,Sim,,46337: Itabira,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
90,733002,07.800.453/0001-41,,C J INDUSTRIA E COMERCIO IMPORTACAO E EXPORTACAO DE CARNES EIRELI,Sim,,19: Guajará-Mirim,RO,25: EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA),2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
91,750307,66.772.674/0001-12,,FGS CARNES LTDA,Sim,,64114: Fernandópolis,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
92,769631,03.074.736/0001-00,,SERCOL - SERVICO E COMERCIO DO VALE LTDA,Sim,,51390: Salinas,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
93,783535,16.845.311/0001-91,,ABATEDOURO FRIGORIFICO SANTA MARIA LTDA,Sim,,14010: Guaraciaba do Norte,CE,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
94,783759,15.138.315/0001-77,,FRIGOROTA LTDA.,Sim,,1538: Senador Guiomard,AC,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
95,785553,46.200.399/0001-55,,COOPERATIVA DOS PECUARISTAS DO VALE DO JURUA COOPECUARIA,Sim,,1090: Mâncio Lima,AC,4: COOPERATIVA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
96,791132,28.953.067/0001-60,,FRIGORIFICO RIOS LTDA,Sim,,1473: Tarauacá,AC,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
0,231948,67.620.377/0017-81,,MINERVA S.A.,Não,,66150: José Bonifácio,SP,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,"1011205: MATADOURO - ABATE DE RESES SOB CONTRATO, EXCETO ABATE DE SUÍNOS",,Sim
1,510869,04.146.683/0001-40,,ABATEDOURO ALMEIDA LTDA,Sim,,230: Colorado do Oeste,RO,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"1011205: MATADOURO - ABATE DE RESES SOB CONTRATO, EXCETO ABATE DE SUÍNOS",,Sim
2,628317,05.886.826/0001-13,,R R FREITAS OLIVEIRA LTDA,Sim,,4731: Itupiranga,PA,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"1011205: MATADOURO - ABATE DE RESES SOB CONTRATO, EXCETO ABATE DE SUÍNOS",,Sim
3,692926,21.835.567/0001-58,,FTM COMERCIO DE CARNES FRESCAS LTDA,Sim,,48216: Matozinhos,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"1011205: MATADOURO - ABATE DE RESES SOB CONTRATO, EXCETO ABATE DE SUÍNOS",,Sim
4,709735,15.715.480/0001-44,,ACAO COMERCIO DE CARNES LTDA,Sim,,2690: Parintins,AM,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"1011205: MATADOURO - ABATE DE RESES SOB CONTRATO, EXCETO ABATE DE SUÍNOS",,Sim
0,2760,00.282.717/0001-73,,RESPLENDOR ALIMENTOS LTDA,Sim,,81795: Joinville,SC,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1013901: FABRICAÇÃO DE PRODUTOS DE CARNE,,Sim
1,11989,01.081.141/0001-49,,J.MANTOANI COMERCIAL DE FRIOS E ALIMENTOS EIRELI,Sim,,91677: Várzea Grande,MT,25: EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA),2: null,,,1013901: FABRICAÇÃO DE PRODUTOS DE CARNE,,Sim
2,20698,01.791.406/0001-00,,P. C. PINHEIRO,Sim,,3018: Boa Vista,RR,1: EMPRESÁRIO (INDIVIDUAL),2: null,,,1013901: FABRICAÇÃO DE PRODUTOS DE CARNE,,Sim
3,26774,02.312.216/0001-18,,AVICOLA GOIAS COM. DE FRIOS LTDA,Sim,,93734: Goiânia,GO,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1013901: FABRICAÇÃO DE PRODUTOS DE CARNE,,Sim
4,28144,02.394.368/0001-07,,FRIGORIFICO FRIGOALPHA INDUSTRIA E COMERCIO DE GENEROS ALIMENTICIOS LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1013901: FABRICAÇÃO DE PRODUTOS DE CARNE,,Sim
5,32230,02.682.929/0001-73,,SOBOROSA ALIMENTOS DO BRASIL LTDA,Sim,,2550: Manaus,AM,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1013901: FABRICAÇÃO DE PRODUTOS DE CARNE,,Sim
6,33201,02.751.861/0001-37,,CARDEX INDUSTRIA E COMERCIO DE CARNES LTDA,Sim,,56251: Cariacica,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1013901: FABRICAÇÃO DE PRODUTOS DE CARNE,,Sim
7,35028,02.886.959/0001-00,,MULT BEEF COMERCIAL LTDA,Sim,,62570: Brodosqui,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1013901: FABRICAÇÃO DE PRODUTOS DE CARNE,,Sim
8,35491,02.916.265/0008-36,,JBS S/A,Sim,,62090: Barretos,SP,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1013901: FABRICAÇÃO DE PRODUTOS DE CARNE,,Sim
9,35493,02.916.265/0011-31,,JBS S/A,Sim,,61417: Andradina,SP,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1013901: FABRICAÇÃO DE PRODUTOS DE CARNE,,Sim
10,35495,02.916.265/0017-27,,JBS S/A,Não,,71072: São Paulo,SP,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1013901: FABRICAÇÃO DE PRODUTOS DE CARNE,,Sim
